===== Sandstorm OS CMS - Radrakning =====
----------------------------------------------------------------------
Typ	Totalt	Utan doc	Fil
----------------------------------------------------------------------
JS	1969	1942	sandstorm\components\explorer\explorer_windows.js
JS	1808	1370	sandstorm\components\desktop\icons.js
JS	1629	1371	sandstorm\components\ui.js
JS	1588	1146	sandstorm\components\load.js
JS	1487	943	sandstorm\components\program.js
JS	1260	1248	program\formbuilder\formbuilder.js
JS	1229	1046	sandstorm\components\ui\window\menu-body.js
JS	1132	907	sandstorm\components\ui\calendar.js
JS	1127	931	sandstorm\components\ui\window\dialogs.js
JS	1114	1010	program\designer\tools\resize.js
JS	1042	883	sandstorm\components\ui\caret.js
JS	1035	859	sandstorm\components\desktop.js
JS	898	718	sandstorm\components\ui\window\dragresize.js
JS	886	876	sandstorm\components\controlpanel\programs\users.js
JS	881	611	program\designer\designer_toolbar.js
JS	854	691	sandstorm\components\ui\window\lifecycle.js
JS	838	827	program\notepad\notepad_data.js
JS	812	803	sandstorm\components\controlpanel\programs\customized.js
JS	800	623	sandstorm\components\ui\window-modal.js
JS	740	727	sandstorm.gen.js
JS	733	585	sandstorm\components\ui\tags.js
JS	719	252	program\designer\tools\split.js
JS	681	576	sandstorm\components\startmenu\tabs.js
JS	671	533	program\designer\designer_objectmodel.js
JS	670	546	sandstorm\components\body.js
JS	653	643	program\mediaplayer\mediaplayer_data.js
JS	618	562	sandstorm\components\taskbar\build.js
JS	606	487	sandstorm\components\explorer\window\dragdrop.js
JS	603	206	sandstorm\components\language\language.js
JS	586	512	program\designer\designer_color_picker_window.js
JS	585	453	program\solitaire\solitaire_functions.js
JS	577	319	sandstorm\components\api.js
JS	576	564	program\mail\mail.js
JS	573	562	program\fotoviewer\fotoviewer.js
JS	571	432	program\solitaire\solitaire_dragdrop.js
JS	534	518	program\mediaplayer\setup.js
JS	530	519	program\mail\mail_data.js
JS	523	473	sandstorm\components\controlpanel\controlpanel.js
JS	521	507	sandstorm\components\networkmonitor\setup.js
JS	520	486	program\designer\designer_boxmodel_panel.js
JS	503	489	sandstorm\components\login\login.js
JS	486	476	program\designer\designer.js
JS	482	106	sandstorm\components\aichat.js
JS	469	455	program\mail\setup.js
JS	456	326	sandstorm\components\taskbar\overflow.js
JS	456	329	sandstorm\components\ui\slider.js
JS	450	427	sandstorm\components\explorer\window\toolbar.js
