===== Sandstorm OS CMS - Radrakning =====
----------------------------------------------------------------------
Typ	Totalt	Utan doc	Fil
----------------------------------------------------------------------
JS	1761	1477	sandstorm\components\ui.js
JS	1751	1287	sandstorm\components\desktop\icons.js
JS	1702	1248	sandstorm\components\load.js
JS	1515	971	sandstorm\components\program.js
JS	1326	1122	sandstorm\components\ui\window\menu-body.js
JS	1264	1252	program\formbuilder\formbuilder.js
JS	1132	907	sandstorm\components\ui\calendar.js
JS	1101	905	sandstorm\components\ui\window\dialogs.js
JS	1020	861	sandstorm\components\ui\caret.js
JS	1018	806	sandstorm\components\ui\window\dragresize.js
JS	895	791	program\designer\tools\resize.js
JS	853	836	program\notepad\notepad_data.js
JS	844	681	sandstorm\components\ui\window\lifecycle.js
JS	811	623	sandstorm\components\ui\window-modal.js
JS	797	789	sandstorm\components\controlpanel\programs\users.content.js
JS	772	562	sandstorm\components\desktop.js
JS	757	503	sandstorm\components\language\language.js
JS	743	730	sandstorm.gen.js
JS	734	681	sandstorm\components\login\login.js
JS	728	580	sandstorm\components\ui\tags.js
JS	716	112	program\designer\designer_toolbar.js
JS	670	546	sandstorm\components\body.js
JS	665	234	program\designer\tools\split.js
JS	658	553	sandstorm\components\startmenu\tabs.js
JS	655	645	program\mediaplayer\mediaplayer_data.js
JS	642	586	sandstorm\components\taskbar\build.js
JS	594	583	program\fotoviewer\fotoviewer.js
JS	578	504	program\designer\designer_color_picker_window.js
JS	578	446	program\solitaire\solitaire_functions.js
JS	577	319	sandstorm\components\api.js
JS	575	565	sandstorm\components\controlpanel\programs\customized.content.js
JS	573	561	program\mail\mail.js
JS	566	520	program\designer\designer_groups_panel.js
JS	563	424	program\solitaire\solitaire_dragdrop.js
JS	553	434	sandstorm\components\explorer\window\dragdrop.js
JS	543	493	sandstorm\components\controlpanel\controlpanel.js
JS	533	517	program\mediaplayer\setup.js
JS	523	512	program\mail\mail_data.js
JS	521	507	sandstorm\components\networkmonitor\setup.js
JS	482	106	sandstorm\components\aichat.js
JS	468	336	sandstorm\components\taskbar\overflow.js
JS	466	452	program\mail\setup.js
JS	462	401	program\designer\designer_layers_panel.js
JS	460	380	sandstorm\components\controlpanel\program.js
JS	456	329	sandstorm\components\ui\slider.js
JS	448	397	sandstorm\components\explorer\window\menus.js
JS	445	323	sandstorm\components\startmenu\core.js
JS	437	328	sandstorm\components\startmenu\running_apps.js
JS	435	415	sandstorm\components\controlpanel\programs\responsivelayout.content.js
JS	434	399	sandstorm\components\responsivelayout\engine.js
JS	430	273	program\designer\designer_color_history.js
JS	425	402	sandstorm\components\explorer\window\toolbar.js
JS	424	382	program\designer\designer_border_dialog.js
JS	424	337	sandstorm\components\taskbar\menu.js
JS	417	332	sandstorm\components\taskbar\icons.js
JS	409	352	sandstorm\components\taskbar\windowanim.js
JS	404	328	sandstorm\components\explorer\setup\shortcuts.js
JS	401	221	program\designer\designer_hover_overlay.js
JS	398	350	sandstorm\components\explorer\window\breadcrumb.js
JS	395	371	sandstorm\components\explorer\setup\fileops.js
JS	392	271	program\designer\designer_objectmodel.js
JS	392	280	sandstorm\components\explorer\window\meta.js
JS	391	381	program\designer\designer.js
JS	387	326	program\designer\designer_boxmodel_panel.js
JS	371	361	program\gui\gui.js
JS	367	349	sandstorm\components\explorer\setup\dialogs.js
JS	345	258	program\solitaire\solitaire_area.js
JS	343	313	program\designer\designer_animation_dialog.js
JS	340	148	sandstorm\components\ui\dropmenu.js
JS	332	272	sandstorm\components\menu.js
JS	326	238	sandstorm\components\ui\toggleWindow.js
JS	323	84	program\designer\designer_gradients_panel.js
JS	317	208	sandstorm\components\responsivelayout\api.js
JS	305	134	sandstorm\ui\css.js
JS	304	235	sandstorm\components\ui\window\index.js
JS	299	96	program\designer\designer_patterns_panel.js
JS	299	291	sandstorm\components\controlpanel\programs\program.content.js
JS	298	269	sandstorm\components\taskbar\addtotaskbar.js
JS	280	197	program\solitaire\solitaire_helper.js
JS	280	228	sandstorm\components\startmenu\buttons.js
JS	280	214	sandstorm\components\taskbar\clock.js
JS	278	92	program\designer\core\stylesheet.js
JS	267	193	program\designer\core\color.js
JS	267	248	program\solitaire\solitaire.js
JS	267	254	program\voiceinput\voiceinput.js
JS	266	143	sandstorm\components\explorer\window\icons.js
JS	262	192	sandstorm\components\cursor\renderer.js
JS	257	204	sandstorm\components\login\autologout.js
JS	254	240	program\designer\designer_ruler.js
JS	251	235	sandstorm\components\controlpanel\programs\cursor.content.js
JS	250	167	sandstorm\components\cursor\api.js
JS	242	202	program\designer\designer_menu.js
JS	238	182	sandstorm\components\explorer\window\list.js
JS	237	161	program\solitaire\solitaire_score.js
JS	227	107	sandstorm\core\modules.js
JS	225	163	sandstorm\components\widgets\input.js
JS	222	32	program\designer\tools\move.js
JS	217	193	sandstorm\components\startmenu\taskbar_dock.js
JS	215	50	program\designer\tools\text.js
JS	214	203	svgs.js
JS	214	138	program\solitaire\solitaire_history.js
